t,trade_side,trade_px,mid_pre,mid_post,realized_spread,adverse_selection
44581,1,65.84361540658556,65.89361540658555,65.91904793543111,0.07543252884555329,-0.025432528845556135
44584,1,65.84455113001027,65.89455113001027,65.92742868039399,0.08287755038371358,-0.032877550383716425
44597,-1,66.02150010155592,65.97150010155592,65.98433731993443,0.03716278162148967,0.012837218378507487
44599,-1,66.03877499990489,65.98877499990489,66.00668675899676,0.032088240908123566,0.01791175909187359
44605,1,66.06562192919243,66.11562192919243,66.13405063675437,0.0684287075619352,-0.01842870756193804
44608,1,66.07935461726841,66.1293546172684,66.14913592513231,0.0697813078639058,-0.019781307863908637
44611,1,66.11320260542267,66.16320260542267,66.1941034038519,0.08090079842922648,-0.030900798429229326
44612,-1,66.2441034038519,66.1941034038519,66.20739377453414,0.03670962931775534,0.013290370682241814
44614,1,66.1750074017271,66.2250074017271,66.23640656064187,0.06139915891476733,-0.011399158914770169
44617,-1,66.34618712967372,66.29618712967373,66.29356173685885,0.05262539281487477,-0.002625392814877614
44618,-1,66.34356173685885,66.29356173685885,66.31485045263823,0.02871128422061986,0.0212887157793773
44621,1,66.2547144223918,66.3047144223918,66.29859528263493,0.04388086024313509,0.006119139756862069
44622,-1,66.34859528263493,66.29859528263493,66.28591020898557,0.06268507364936227,-0.012685073649365108
44624,1,66.2449644775502,66.2949644775502,66.30525346894686,0.06028899139666066,-0.010288991396663505
44625,-1,66.35525346894686,66.30525346894686,66.30099085022401,0.05426261872284499,-0.004262618722847833
44626,-1,66.35099085022401,66.30099085022401,66.30883077566186,0.04216007456214754,0.007839925437849615
44627,-1,66.35883077566186,66.30883077566186,66.31347593596288,0.04535483969897314,0.0046451603010240206
44636,1,66.33634342324694,66.38634342324694,66.40712782768637,0.07078440443942213,-0.020784404439424975
44640,1,66.40785888840878,66.45785888840878,66.48729919323586,0.07944030482707376,-0.029440304827076602
44641,-1,66.53729919323585,66.48729919323586,66.51109619408746,0.026202999148395634,0.023797000851601524
44646,-1,66.56869368022119,66.51869368022119,66.5349213232665,0.03377235695468528,0.01622764304531188
44653,-1,66.5802841853633,66.5302841853633,66.56560303365265,0.0146811517106471,0.03531884828935006
44663,1,66.51710843527465,66.56710843527465,66.57017356740069,0.053065132126036474,-0.003065132126039316
44668,1,66.56507950177476,66.61507950177476,66.62223505210432,0.05715555032955422,-0.007155550329557059
44675,1,66.59601553779127,66.64601553779127,66.64381447141419,0.04779893362291432,0.0022010663770828387
44678,-1,66.70926332864585,66.65926332864585,66.72619862442455,-0.016935295778708337,0.0669352957787055
44679,-1,66.77619862442455,66.72619862442455,66.76986552037516,0.006333104049389249,0.04366689595060791
44682,-1,66.81352586263318,66.76352586263319,66.75053628523955,0.06298957739363686,-0.012989577393639706
44684,-1,66.8398935437734,66.7898935437734,66.78147269132835,0.05842085244505313,-0.00842085244505597
44685,1,66.73147269132835,66.78147269132835,66.77089790713968,0.039425215811334624,0.010574784188662534
44686,1,66.72089790713969,66.77089790713968,66.76029318316066,0.039395276020968595,0.010604723979028563
44687,-1,66.81029318316065,66.76029318316066,66.75425579370318,0.056037389457472386,-0.0060373894574752285
44691,1,66.70401866743244,66.75401866743243,66.78156473926556,0.077546071833126,-0.02754607183312885
44695,1,66.74126891363635,66.79126891363634,66.84814243239009,0.10687351875374418,-0.05687351875374702
44698,-1,66.92249463334659,66.87249463334659,66.86180123419325,0.06069339915333671,-0.010693399153339556
44700,-1,66.92762770101318,66.87762770101318,66.90257113424434,0.02505656676883916,0.024943433231157996
44709,-1,66.9488258998392,66.89882589983921,66.92386974899699,0.024956150842214697,0.02504384915778246
44722,1,66.96160594043782,67.01160594043782,67.03595546389175,0.07434952345393242,-0.024349523453935262
44726,1,67.03634090014212,67.08634090014212,67.10863655195618,0.07229565181405917,-0.022295651814062012
